操作，操纵,そうさ,操作,名
机械，机器,きかい,機械,名
旅行社,りょこうがいしゃ,旅行会社,名
航空公司,こうくうがいしゃ,航空会社,名
营业部,えいぎょうぶ,営業部,名
IT产业，信息技术产业,アイティーさんぎょう,IT産業,名
产品,せいひん,製品,名
建筑师,けんちくし,建築家,名
设计,せっけい,設計,名
(制作)图案,デザイン,デザイン,名
造型，形状，形式,かたち,形,名
最新,さいしん,最新,名
领带,ネクタイ,ネクタイ,名
钱包,さいふ,財布,名
革，皮革,かわ,革,名
布，布匹,なの,布,名
水壶，水筒,すいとう,水筒,名
绿，绿色,みどり,緑,名
脚,あし,足,名
手指，指头,ゆび,指,名
眼，眼睛,め,目,名
鼻，鼻子,はな,鼻,名
脸，颜面,かお,顔,名
头，头脑,あたま,頭,名
身份证件,アイデンティティーカード,アイデンティティーカード,名
错误，失误,まちがい,間違い,名
问题,もんだい,問題,名
广告,こうこく,広告,名
牌子,かんばん,看板,名
展览会场,てんじじょう,展示場,名
服务,サービス,サービス,名
天井,てんじょう,天井,名
戒备，警备,けいび,警備,名
圣诞节,クリスマス,クリスマス,名
澳大利亚人,オーストラリアじん,オーストラリア人,名
大家，诸位,みなさん,皆さん,名
孩子,こ,子,名
旁边，侧面,そば,側,名
有，拥有，持有,もちます,持ちます,动1
住，居住,すます,住ます,动1
认识，知道，了解,しります,知ります,动1
改，修改，改正,あらためます,直します,动1
收拾，整理,かたづけます,片づけます,动1
练习,れんしゅうします,練習します,动3
结婚,けっこんします,結婚します,动3
安心,あんしんします,安心します,动3
开朗，开明,あかるい,明るい,形1
长，长久，长远,ながい,長い,形1
短，短管,みじかい,短い,形1
轻巧，轻松，轻微,かるい,軽い,形1
和蔼，温和，体贴,やさしい,優しい,形1
小，细长，纤细,ほそい,細い,形1
粗，胖,ふとい,太い,形1
黑，黑色,くろい,黒い,形1
独特,ユニーク,ユニーク,形2
安全,あんぜん,安全,形2
耀眼，花哨,はで,派手,形2
朴素，质朴,じみ,地味,形2
森严；严格,げんじつ,厳重,形2
认真；严肃,まじめ,真面目,形2
重要，珍贵,たいせつ,大切,形2
复杂，繁杂,ふくざつ,複雑,形2
好好地，的确，完全,ちゃんと,ちゃんと,副
尚,まだ,まだ,副
马上，立即,すぐ,すぐ,副
相当，非常，很,すごい,すごい,形2
你看，瞧，喂,ほら,ほら,叹
