礼物,プレゼント,プレゼント,名词
票,チケット,チケット,名词
小册子,パンフレット,パンフレット,名词
纪念品,スーベニア,スーベニア,名词
日程表,スケジュール,スケジュール,名词
影集,アルバム,アルバム,名词
花,はな,花,名词
钱，金钱,おかね,お金,名词
圆珠笔,ボールペン,ボールペン,名词
作业,しゅくだい,宿題,名词
航空邮件,くうきやくそう,空気役送,名词 
速递，快件,そくたつ,速達,名词
传真,ファックス,ファックス,名词
邮件,メール,メール,名词
电话号码,でんわばんごう,電話番号,名词
住址,じゅうしょ,住所,名词
姓名,なまえ,名前,名词
事件，事情,けん,件,名词
报纸,しんぶん,新聞,名词
纸折的飞机,かみおうちゃん,紙飛行機,名词 
巧克力,チョコレート,チョコレート,名词
冰激凌,アイスクリーム,アイスクリーム,名词
面粉,こうじ,小麦粉,名词 
筷子,はし,箸,名词 
哥哥,にいさん,兄さん,名词
韩语,ハングル,ハングル,名词 
傍晚,ゆうがた,夕方,名词
午休,ひるやすみ,昼休み,名词
拿到，得到,もらいます,貰います,动词1
见,あいます,会います,动词1
穿（衣）,きます,着ます,动词1 
做，制造,つくります,作ります,动词1
胖,ふとります,太ります,动词1 
寄（信）,つぎます,届けます,动词1 
画,えがきます,描きます,动词1 
借出，借给,かします,貸します,动词1 
学习,ならいます,習います,动词1 
给,あたえます,与えます,动词2 
打（电话）,かけます,掛けます,动词1
借（向别人）,かります,借ります,动词1
教,おしえます,教えます,动词2
已经,もう,もう,副词
刚才,さっき,さっき,副词
刚刚,たったいま,たった今,副词 
再一次,もういちど,もう一度,副词
以前,まえに,前に,副词
怎么样，如何,どうですか,どうですか,短语/表达
拜托了,おねがいします,お願いします,短语/表达
明白了,かしこまりました,承知しました,短语/表达
太好了,よかったです,よかったです,短语/表达
~楼,~ろう,~楼,短语/表达
